Epi_Control_rep1	Epi_Control_rep2	Epi_Control_rep3	Mes_Control_rep1	Mes_Control_rep2	Mes_Control_rep3	Epi_TNF_1hr_rep1	Epi_TNF_1hr_rep2	Epi_TNF_1hr_rep3	Mes_TNF_1hr_rep1	Mes_TNF_1hr_rep2	Mes_TNF_1hr_rep3	Epi_TNF_12hr_rep1	Epi_TNF_12hr_rep2	Epi_TNF_12hr_rep3	Mes_TNF_12hr_rep1	Mes_TNF_12hr_rep2	Mes_TNF_12hr_rep3
MBTPS2	4.19931674472013	4.14748744417851	4.49093492865214	4.42926744411625	4.44263694495612	4.48504421531223	3.91032521873086	4.04753516601713	4.43656669145096	4.40351342114648	4.36914412122905	4.07751869769077	4.24382561119568	4.2226049379339	4.15787798470669	4.44451982932506	4.47056388064487	4.2449194582283
RNF150	4.03147990567718	4.01576669345521	4.19273026876536	2.55229424170869	2.24371792374109	2.53911339510832	3.75196775160924	3.82752847783783	4.20228394060449	2.3091626957122	2.38554952037515	2.05	3.68304233373894	3.67832539142441	3.647442667093	2.66879737652945	2.60198564564198	2.3674529681972
RC3H2	4.79732988422077	4.75450625092121	4.96558744947581	4.76964309465575	4.76409443123675	4.91527735859226	4.51320782634508	4.6149194582283	4.99089587568633	4.77715434051867	4.7570241667461	4.64156157253773	4.89707346734998	4.90585716414561	4.83498563600984	4.94846187700225	4.94714403941447	4.71974720990589
UBE3C	5.13419771017006	5.08512556055811	5.36062566704218	5.27569874385505	5.23582313670712	5.38208108320174	4.89868129135209	4.96643654376693	5.36008483906772	5.31494038760534	5.25961445485389	5.29085069748926	5.26980389358525	5.30385872489373	5.2137763105918	5.4181558268969	5.44983504606714	5.21457640641753
CEP135	3.85883500209236	3.91134684041137	4.28083627397825	4.10163684013202	4.153356989556	4.27208108320174	3.48883500209236	3.62697509278697	3.9440081969077	4.01576669345521	3.94304726565786	3.53621906644402	3.8310990407503	3.76955961778832	3.7708891257362	4.12127942505979	4.12127942505979	3.88089587568633
SAFB2	4.86676134399769	4.75994680224893	5.02743584748219	4.80866113637677	4.77836248248697	4.94435120745156	4.57435120745156	4.57020863659868	4.94582294029764	4.76036301838318	4.76718413983471	4.50689062640227	4.92879971396463	4.93483479424885	4.87555110960115	4.90012420392497	4.97066187320464	4.77310733731926
MTAP	4.71046354694965	4.67407567354659	5.02667850921593	4.72577383610324	4.70124800230983	4.85521840267391	4.43350548068063	4.5690191159613	4.89723446785343	4.77876458959836	4.72176365490026	4.38492672921403	4.8059940500603	4.80904106320073	4.75848748473941	4.77654924259051	4.79538526580372	4.5819602871112
PDS5B	4.50521570452249	4.53554027653457	4.82457420641674	4.61546554233233	4.60052156641841	4.66842177090881	4.27518757401653	4.31783471626964	4.70124800230983	4.56212744863903	4.51879737652945	4.27467107938007	4.57287540566792	4.55849616140306	4.48434689690461	4.65440002603815	4.63026802553298	4.41276908823734
ACTN4	6.01810955956753	5.92367335315681	6.10253109384892	5.94326443873792	5.8954056202971	6.13723084110892	5.76347954905735	5.7712065047796	6.12045593074041	5.97347037863434	5.96634923714665	5.86550434658546	6.11638767132521	6.13971713627334	6.05000437629262	6.09156244772987	6.24211536635962	6.01948791444306
AFF3	0.57	0.57	0.57	1.79911339510832	1.68	1.9391626957122	0.57	0.57	0.57	1.79911339510832	1.52643612526683	1.60872132116131	1.15643612526683	0.57	0.57	2.14173317997413	2.05	1.79911339510832
